Date,Close
2/24/2023,146.710007
2/27/2023,147.919998
2/28/2023,147.410004
3/1/2023,145.309998
3/2/2023,145.910004
3/3/2023,151.029999
3/6/2023,153.830002
3/7/2023,151.600006
3/8/2023,152.869995
3/9/2023,150.589996
3/10/2023,148.5
3/13/2023,150.470001
3/14/2023,152.589996
3/15/2023,152.990005
3/16/2023,155.850006
3/17/2023,155
3/20/2023,157.399994
3/21/2023,159.279999
3/22/2023,157.830002
3/23/2023,158.929993
3/24/2023,160.25
3/27/2023,158.279999
3/28/2023,157.649994
3/29/2023,160.770004
3/30/2023,162.360001
3/31/2023,164.899994
4/3/2023,166.169998
4/4/2023,165.630005
4/5/2023,163.759995
4/6/2023,164.660004
4/10/2023,162.029999
4/11/2023,160.800003
4/12/2023,160.100006
4/13/2023,165.559998
4/14/2023,165.210007
4/17/2023,165.229996
4/18/2023,166.470001
4/19/2023,167.630005
4/20/2023,166.649994
4/21/2023,165.020004
4/24/2023,165.330002
4/25/2023,163.770004
4/26/2023,163.759995
4/27/2023,168.410004
4/28/2023,169.679993
5/1/2023,169.589996
5/2/2023,168.539993
5/3/2023,167.449997
5/4/2023,165.789993
5/5/2023,173.570007
5/8/2023,173.5
5/9/2023,171.770004
5/10/2023,173.559998
5/11/2023,173.75
5/12/2023,172.570007
5/15/2023,172.070007
5/16/2023,172.070007
5/17/2023,172.690002
5/18/2023,175.050003
5/19/2023,175.160004
5/22/2023,174.199997
5/23/2023,171.559998
5/24/2023,171.839996
5/25/2023,172.990005
5/26/2023,175.429993
5/30/2023,177.300003
5/31/2023,177.25
6/1/2023,180.089996
6/2/2023,180.949997
6/5/2023,179.580002
6/6/2023,179.210007
6/7/2023,177.820007
6/8/2023,180.570007
6/9/2023,180.960007
6/12/2023,183.789993
6/13/2023,183.309998
6/14/2023,183.949997
6/15/2023,186.009995
6/16/2023,184.919998
6/20/2023,185.009995
6/21/2023,183.960007
6/22/2023,187
6/23/2023,186.679993
6/26/2023,185.270004
6/27/2023,188.059998
6/28/2023,189.25
6/29/2023,189.589996
6/30/2023,193.970001
7/3/2023,192.460007
7/5/2023,191.330002
7/6/2023,191.809998
7/7/2023,190.679993
7/10/2023,188.610001
7/11/2023,188.080002
7/12/2023,189.770004
7/13/2023,190.539993
7/14/2023,190.690002
7/17/2023,193.990005
7/18/2023,193.729996
7/19/2023,195.100006
7/20/2023,193.130005
7/21/2023,191.940002
7/24/2023,192.75
7/25/2023,193.619995
7/26/2023,194.5
7/27/2023,193.220001
7/28/2023,195.830002
7/31/2023,196.449997
8/1/2023,195.610001
8/2/2023,192.580002
8/3/2023,191.169998
8/4/2023,181.990005
8/7/2023,178.850006
8/8/2023,179.800003
8/9/2023,178.190002
8/10/2023,177.970001
8/11/2023,177.789993
8/14/2023,179.460007
8/15/2023,177.449997
8/16/2023,176.570007
8/17/2023,174
8/18/2023,174.490005
8/21/2023,175.839996
8/22/2023,177.229996
8/23/2023,181.119995
8/24/2023,176.380005
8/25/2023,178.610001
8/28/2023,180.190002
8/29/2023,184.119995
8/30/2023,187.649994
8/31/2023,187.869995
9/1/2023,189.460007
9/5/2023,189.699997
9/6/2023,182.910004
9/7/2023,177.559998
9/8/2023,178.179993
9/11/2023,179.360001
9/12/2023,176.300003
9/13/2023,174.210007
9/14/2023,175.740005
9/15/2023,175.009995
9/18/2023,177.970001
9/19/2023,179.070007
9/20/2023,175.490005
9/21/2023,173.929993
9/22/2023,174.789993
9/25/2023,176.080002
9/26/2023,171.960007
9/27/2023,170.429993
9/28/2023,170.690002
9/29/2023,171.210007
10/2/2023,173.75
10/3/2023,172.399994
10/4/2023,173.660004
10/5/2023,174.910004
10/6/2023,177.490005
10/9/2023,178.990005
10/10/2023,178.389999
10/11/2023,179.800003
10/12/2023,180.710007
10/13/2023,178.850006
10/16/2023,178.720001
10/17/2023,177.149994
10/18/2023,175.839996
10/19/2023,175.460007
10/20/2023,172.880005
10/23/2023,173
10/24/2023,173.440002
10/25/2023,171.100006
10/26/2023,166.889999
10/27/2023,168.220001
10/30/2023,170.289993
10/31/2023,170.770004
11/1/2023,173.970001
11/2/2023,177.570007
11/3/2023,176.649994
11/6/2023,179.229996
11/7/2023,181.820007
11/8/2023,182.889999
11/9/2023,182.410004
11/10/2023,186.399994
11/13/2023,184.800003
11/14/2023,187.440002
